lag,acf_raw_monthly,acf_resid_monthly
0,1.0,1.0
1,0.21987369141696428,-0.10684783379775853
2,0.1359260629831912,-0.15547657337218584
3,-0.05701067197243698,-0.14373293185646224
4,-0.0911501000359723,-0.010574344610354437
5,-0.2626950275036723,-0.1814911513039425
6,-0.24890805020846415,-0.03491486083042636
7,-0.17703754431234783,0.11727222696159838
8,-0.09670536854236877,0.1081884305121628
9,-0.027631173647130462,-0.06183081677630516
10,0.10431037517921875,-0.02512421653889982
11,0.25751388723074053,-0.015465288530132534
12,0.3071349848671882,-0.030176903719495655
13,0.252263853888369,-0.04021977101905347
14,0.1186116536770586,0.003795198909872691
15,-0.03307046937288192,0.00505653915031543
16,-0.1041385760927821,0.08176817873270767
17,-0.15250311811178763,0.08936963031088001
18,-0.258744844074538,-0.06950961141602377
19,-0.13550499101032057,0.15201600926618739
20,-0.22537153867965287,-0.17114486296340983
21,-0.03864330707405636,-0.030631578849834012
22,0.12248610918545662,0.022234079632571926
23,0.27280087649672674,0.11034943828853337
24,0.17590675511002604,-0.19555281202820893
