year_month,observed,ma12,trend,seasonal,residual
2009-05,3.887,,,1.6236506779100528,
2009-06,5.61,,,1.1196477017195772,
2009-07,2.37,,,1.0859899636243389,
2009-08,4.584,,,0.4704810350529099,
2009-09,1.853,,,-0.028045750661375716,
2009-10,6.857,,,0.4314185350529099,
2009-11,1.43,3.035083333333333,3.1197916666666665,-1.139100909391534,-0.5506907572751325
2009-12,2.93,3.2045,3.1981249999999997,-0.9665100363756612,0.6983850363756617
2010-01,0.998,3.1917500000000003,3.3897500000000007,-1.4601796792328043,-0.9315703207671966
2010-02,1.133,3.58775,3.5010833333333338,-1.2098314649470898,-1.158251868386244
2010-03,1.657,3.4144166666666664,3.4973333333333336,-0.5411320601851852,-1.2992012731481484
2010-04,3.112,3.5802499999999995,3.3463333333333325,0.6136119874338625,-0.8479453207671949
2010-05,5.92,3.1124166666666664,3.1477500000000007,1.6236506779100528,1.1485993220899464
2010-06,5.457,3.1830833333333337,3.1270416666666665,1.1196477017195772,1.2103106316137562
2010-07,7.122,3.0709999999999997,3.0578333333333334,1.0859899636243389,2.978176703042328
2010-08,2.504,3.0446666666666666,3.1064583333333338,0.4704810350529099,-1.0729393683862436
2010-09,3.843,3.1682500000000005,3.207125,-0.028045750661375716,0.6639207506613757
2010-10,1.243,3.246,3.3232083333333335,0.4314185350529099,-2.511626868386243
2010-11,2.278,3.400416666666667,3.3554166666666667,-1.139100909391534,0.06168424272486739
2010-12,1.585,3.3104166666666672,3.2296666666666667,-0.9665100363756612,-0.6781566302910055
2011-01,0.682,3.1489166666666666,3.0550416666666664,-1.4601796792328043,-0.9128619874338622
2011-02,2.616,2.9611666666666667,3.010458333333333,-1.2098314649470898,0.8153731316137571
2011-03,2.59,3.0597499999999997,3.0483749999999996,-0.5411320601851852,0.08275706018518547
2011-04,4.965,3.0369999999999995,3.0548333333333333,0.6136119874338625,1.2965546792328042
2011-05,4.84,3.0726666666666667,3.132583333333333,1.6236506779100528,0.08376598875661423
2011-06,3.519,3.1924999999999994,3.2239999999999998,1.1196477017195772,-0.8246477017195768
2011-07,4.869,3.2555,3.280666666666667,1.0859899636243389,0.5023433697089941
2011-08,3.687,3.3058333333333336,3.252625,0.4704810350529099,-0.03610603505291016
2011-09,3.57,3.1994166666666666,3.1875,-0.028045750661375716,0.41054575066137555
2011-10,1.671,3.1755833333333334,3.082541666666667,0.4314185350529099,-1.842960201719577
2011-11,3.716,2.9895,2.909291666666667,-1.139100909391534,1.9458092427248674
2011-12,2.341,2.829083333333333,2.7293333333333334,-0.9665100363756612,0.578176703042328
2012-01,1.286,2.629583333333333,2.5345416666666662,-1.4601796792328043,0.21163801256613812
2012-02,1.339,2.4395000000000002,2.426875,-1.2098314649470898,0.1219564649470899
2012-03,2.304,2.41425,2.3592916666666666,-0.5411320601851852,0.4858403935185185
2012-04,2.732,2.3043333333333336,2.3714166666666667,0.6136119874338625,-0.253028654100529
2012-05,2.915,2.4385000000000003,2.3201666666666667,1.6236506779100528,-1.0288173445767195
2012-06,1.125,2.2018333333333335,2.194,1.1196477017195772,-2.188647701719577
2012-07,2.588,2.186166666666667,2.262875,1.0859899636243389,-0.760864963624339
2012-08,3.384,2.339583333333333,2.3834999999999997,0.4704810350529099,0.5300189649470903
2012-09,2.251,2.4274166666666663,2.416125,-0.028045750661375716,-0.13707924933862448
2012-10,3.281,2.4048333333333334,2.544958333333333,0.4314185350529099,0.30462313161375704
2012-11,0.876,2.6850833333333335,2.7664999999999993,-1.139100909391534,-0.7513990906084653
2012-12,2.153,2.8479166666666664,2.9916666666666667,-0.9665100363756612,0.12784336970899457
2013-01,3.127,3.1354166666666665,3.157458333333334,-1.4601796792328043,1.4297213458994702
2013-02,2.393,3.1794999999999995,3.1396666666666664,-1.2098314649470898,0.46316479828042323
2013-03,2.033,3.0998333333333328,3.084125,-0.5411320601851852,-0.5099929398148146
2013-04,6.095,3.0684166666666663,3.0907916666666666,0.6136119874338625,2.390596345899471
2013-05,4.869,3.1131666666666664,3.1605000000000003,1.6236506779100528,0.08484932208994667
2013-06,4.575,3.2078333333333333,3.1836249999999997,1.1196477017195772,0.2717272982804233
2013-07,3.117,3.159416666666667,3.1014583333333334,1.0859899636243389,-1.0704482969576723
2013-08,2.428,3.0435,3.0227083333333336,0.4704810350529099,-1.0651893683862435
2013-09,1.874,3.0019166666666663,2.9691249999999996,-0.028045750661375716,-1.0670792493386236
2013-10,3.818,2.9363333333333332,2.8039583333333336,0.4314185350529099,0.5826231316137567
2013-11,2.012,2.671583333333333,2.6235416666666667,-1.139100909391534,0.5275592427248674
2013-12,1.572,2.5754999999999995,2.687,-0.9665100363756612,-0.14848996362433853
2014-01,1.736,2.7985,2.762458333333333,-1.4601796792328043,0.4337213458994713
2014-02,1.894,2.7264166666666667,2.8495416666666666,-1.2098314649470898,0.2542897982804231
2014-03,1.246,2.972666666666667,3.029333333333333,-0.5411320601851852,-1.242201273148148
2014-04,2.918,3.0860000000000003,3.072958333333333,0.6136119874338625,-0.7685703207671951
2014-05,3.716,3.0599166666666666,3.0384583333333333,1.6236506779100528,-0.9461090112433859
2014-06,7.251,3.017,2.9936249999999998,1.1196477017195772,3.1377272982804234
2014-07,2.252,2.9702500000000005,2.9425000000000003,1.0859899636243389,-1.7764899636243394
2014-08,5.383,2.91475,2.8699583333333334,0.4704810350529099,2.042560631613757
2014-09,3.234,2.8251666666666666,2.8207083333333327,-0.028045750661375716,0.441337417328043
2014-10,3.505,2.81625,2.8314166666666662,0.4314185350529099,0.24216479828042375
2014-11,1.497,2.8465833333333332,2.8854166666666665,-1.139100909391534,-0.24931575727513233
2014-12,1.011,2.9242500000000002,2.8979166666666667,-0.9665100363756612,-0.9204066302910056
2015-01,1.07,2.8715833333333336,2.9608749999999997,-1.4601796792328043,-0.4306953207671953
2015-02,0.819,3.050166666666667,2.9705,-1.2098314649470898,-0.9416685350529101
2015-03,1.139,2.890833333333333,2.9185,-0.5411320601851852,-1.2383679398148146
2015-04,3.282,2.9461666666666666,2.8785000000000003,0.6136119874338625,-0.21011198743386272
2015-05,4.648,2.810833333333333,2.922,1.6236506779100528,0.10234932208994674
2015-06,6.619,3.0331666666666663,3.2204166666666665,1.1196477017195772,2.278935631613756
2015-07,4.395,3.407666666666667,3.3962500000000007,1.0859899636243389,-0.08723996362433994
2015-08,3.471,3.3848333333333334,3.3951666666666664,0.4704810350529099,-0.39464770171957625
2015-09,3.898,3.4055,3.5075000000000003,-0.028045750661375716,0.41854575066137556
2015-10,1.881,3.6095,3.592541666666667,0.4314185350529099,-2.142960201719577
2015-11,4.165,3.575583333333334,3.57,-1.139100909391534,1.7341009093915343
2015-12,5.505,3.564416666666667,3.400041666666667,-0.9665100363756612,3.071468369708994
2016-01,0.796,3.2356666666666665,3.296041666666666,-1.4601796792328043,-1.039861987433862
2016-02,1.067,3.3564166666666666,3.410166666666667,-1.2098314649470898,-1.133335201719577
2016-03,3.587,3.4639166666666665,3.3978750000000004,-0.5411320601851852,0.730257060185185
2016-04,2.875,3.331833333333334,3.3826250000000004,0.6136119874338625,-1.1212369874338628
2016-05,4.514,3.4334166666666674,3.346416666666667,1.6236506779100528,-0.4560673445767194
2016-06,2.674,3.2594166666666666,3.0842083333333328,1.1196477017195772,-1.52985603505291
2016-07,5.844,2.9089999999999994,2.9845416666666664,1.0859899636243389,1.773468369708995
2016-08,4.761,3.060083333333333,3.0737916666666667,0.4704810350529099,1.2167272982804236
2016-09,2.313,3.0875,3.091041666666667,-0.028045750661375716,-0.749995916005291
2016-10,3.1,3.094583333333333,3.2495,0.4314185350529099,-0.5809185350529096
2016-11,2.077,3.404416666666666,3.39625,-1.139100909391534,-0.18014909060846618
2016-12,1.3,3.388083333333333,3.4421249999999994,-0.9665100363756612,-1.175614963624338
2017-01,2.609,3.496166666666666,3.477375,-1.4601796792328043,0.5918046792328044
2017-02,1.396,3.4585833333333333,3.3725,-1.2098314649470898,-0.7666685350529103
2017-03,3.672,3.2864166666666663,3.2214166666666664,-0.5411320601851852,0.991715393518519
2017-04,6.593,3.1564166666666664,3.308125,0.6136119874338625,2.6712630125661376
2017-05,4.318,3.4598333333333335,3.4479166666666665,1.6236506779100528,-0.7535673445767197
2017-06,3.971,3.4359999999999995,3.4069583333333324,1.1196477017195772,-0.5556060350529095
2017-07,5.393,3.3779166666666662,3.3193749999999995,1.0859899636243389,0.9876350363756614
2017-08,2.695,3.260833333333333,3.3555000000000006,0.4704810350529099,-1.1309810350529106
2017-09,0.753,3.4501666666666666,3.385333333333333,-0.028045750661375716,-2.604287582671957
2017-10,6.741,3.3204999999999996,3.129208333333333,0.4314185350529099,3.1803731316137567
2017-11,1.791,2.9379166666666667,3.005416666666667,-1.139100909391534,-0.07531575727513307
2017-12,0.603,3.0729166666666665,3.2072916666666664,-0.9665100363756612,-1.6377816302910055
2018-01,1.204,3.3416666666666663,3.19425,-1.4601796792328043,-0.5300703207671955
2018-02,3.668,3.0468333333333333,3.1694999999999993,-1.2098314649470898,1.7083314649470906
2018-03,2.116,3.2921666666666667,3.411125,-0.5411320601851852,-0.7539929398148149
2018-04,2.002,3.5300833333333332,3.4319583333333328,0.6136119874338625,-2.0435703207671954
2018-05,5.938,3.333833333333333,3.3673333333333333,1.6236506779100528,0.9470159887566136
2018-06,7.196,3.4008333333333334,3.5068749999999995,1.1196477017195772,2.569477298280423
2018-07,1.855,3.612916666666667,3.631791666666667,1.0859899636243389,-2.862781630291006
2018-08,5.639,3.6506666666666674,3.6050833333333334,0.4704810350529099,1.563435631613757
2018-09,3.608,3.5595,3.575666666666667,-0.028045750661375716,0.06037908399470859
2018-10,4.386,3.591833333333333,3.7135000000000002,0.4314185350529099,0.24108146494708999
2018-11,2.595,3.8351666666666664,3.9056666666666655,-1.139100909391534,-0.17156575727513124
2018-12,3.148,3.9761666666666664,3.8503749999999997,-0.9665100363756612,0.2641350363756617
2019-01,1.657,3.7245833333333334,3.799958333333334,-1.4601796792328043,-0.6827786541005296
2019-02,2.574,3.8753333333333337,3.813458333333333,-1.2098314649470898,-0.02962686838624351
2019-03,2.504,3.751583333333334,3.8883750000000004,-0.5411320601851852,-0.8432429398148151
2019-04,4.922,4.025166666666666,4.073291666666667,0.6136119874338625,0.23509634589947026
2019-05,7.63,4.121416666666666,4.086458333333333,1.6236506779100528,1.9198909887566142
2019-06,4.177,4.0515,3.9857499999999995,1.1196477017195772,-0.928397701719577
2019-07,3.664,3.92,3.980916666666666,1.0859899636243389,-1.4029066302910047
2019-08,4.154,4.041833333333334,3.981458333333333,0.4704810350529099,-0.29793936838624285
2019-09,6.891,3.9210833333333333,3.9819999999999993,-0.028045750661375716,2.9370457506613765
2019-10,5.541,4.042916666666667,4.013625,0.4314185350529099,1.0959564649470903
2019-11,1.756,3.9843333333333337,3.9641249999999997,-1.139100909391534,-1.0690240906084658
2019-12,1.57,3.9439166666666665,3.9019583333333334,-0.9665100363756612,-1.3654482969576724
2020-01,3.119,3.8600000000000008,3.827125,-1.4601796792328043,0.7520546792328044
2020-02,1.125,3.7942500000000003,3.6855000000000007,-1.2098314649470898,-1.3506685350529108
2020-03,3.966,3.57675,3.4215,-0.5411320601851852,1.0856320601851854
2020-04,4.219,3.26625,3.1652916666666666,0.6136119874338625,0.4400963458994712
2020-05,7.145,3.064333333333334,3.0787500000000008,1.6236506779100528,2.4425993220899453
2020-06,3.17,3.0931666666666664,3.1028333333333333,1.1196477017195772,-1.0524810350529106
2020-07,2.875,3.1124999999999994,3.055666666666666,1.0859899636243389,-1.2666566302910047
2020-08,1.544,2.9988333333333337,2.988291666666667,0.4704810350529099,-1.9147727017195768
2020-09,3.165,2.9777500000000003,2.907166666666667,-0.028045750661375716,0.28587908399470885
2020-10,3.118,2.836583333333333,2.7363333333333326,0.4314185350529099,-0.049751868386242626
2020-11,2.102,2.636083333333333,2.4750416666666664,-1.139100909391534,0.7660592427248676
2020-12,1.802,2.3139999999999996,2.3890833333333332,-0.9665100363756612,0.37942670304232806
2021-01,1.755,2.464166666666667,2.4585833333333333,-1.4601796792328043,0.7565963458994709
2021-02,0.872,2.453,2.5224583333333332,-1.2098314649470898,-0.44062686838624354
2021-03,2.272,2.5919166666666666,2.5382916666666664,-0.5411320601851852,0.27484039351851863
2021-04,1.813,2.4846666666666666,2.6021249999999996,0.6136119874338625,-1.4027369874338622
2021-05,3.28,2.719583333333333,2.6614583333333335,1.6236506779100528,-1.0051090112433865
2021-06,4.972,2.6033333333333335,2.618375,1.1196477017195772,1.2339772982804234
2021-07,2.741,2.6334166666666667,2.58675,1.0859899636243389,-0.9317399636243386
2021-08,3.211,2.540083333333334,2.599541666666667,0.4704810350529099,0.14097729828042288
2021-09,1.878,2.6590000000000003,2.7039166666666667,-0.028045750661375716,-0.7978709160052911
2021-10,5.937,2.7488333333333337,2.8485833333333335,0.4314185350529099,2.656998131613757
2021-11,0.707,2.9483333333333337,2.99175,-1.139100909391534,-1.1456490906084662
2021-12,2.163,3.035166666666667,2.9265416666666666,-0.9665100363756612,0.20296836970899446
2022-01,0.635,2.8179166666666666,2.9110416666666663,-1.4601796792328043,-0.8158619874338617
2022-02,2.299,3.0041666666666664,3.0380833333333332,-1.2098314649470898,0.4707481316137565
2022-03,3.35,3.0719999999999996,3.1114166666666665,-0.5411320601851852,0.7797153935185188
2022-04,4.207,3.150833333333333,2.9877916666666664,0.6136119874338625,0.605596345899471
2022-05,4.322,2.82475,2.8604583333333324,1.6236506779100528,-0.16210901124338517
2022-06,2.365,2.8961666666666663,2.8954166666666663,1.1196477017195772,-1.6500643683862433
2022-07,4.976,2.894666666666667,2.962541666666667,1.0859899636243389,0.927468369708994
2022-08,4.025,3.0304166666666674,3.0747500000000003,0.4704810350529099,0.47976896494709015
2022-09,2.824,3.1190833333333337,3.123625,-0.028045750661375716,-0.27157924933862454
2022-10,2.024,3.128166666666667,3.045375,0.4314185350529099,-1.4527935350529098
2022-11,1.564,2.9625833333333333,2.8605,-1.139100909391534,-0.1573990906084659
2022-12,2.145,2.7584166666666667,2.7332083333333332,-0.9665100363756612,0.378301703042328
2023-01,2.264,2.708,2.7812083333333337,-1.4601796792328043,0.9429713458994704
2023-02,3.363,2.854416666666667,2.811041666666666,-1.2098314649470898,1.7617897982804236
2023-03,3.459,2.767666666666667,2.769083333333334,-0.5411320601851852,1.2310487268518513
2023-04,2.22,2.7705,2.8235833333333336,0.6136119874338625,-1.2171953207671957
