"ACS Year","Ward","Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +","Male 0 to 17","Male 18 to 24","Male 25 to 34","Male 35 to 49","Male 50 to 64","Male 65+","Female 0 to 17","Female 18 to 24","Female 25 to 34","Female 35 to 49","Female 50 to 64","Female 65 +","Total Population","White","Black or African American","American Indian or Alaska Native","Asian","Native Hawaiian or Pacific Islander","Other Race","Multiracial","White Not Hispanic or Latino","Hispanic or Latino","Record ID"
"2023","35","1,291","2,301","1,543","2,326","3,576","4,940","2,720","5,610","5,612","4,415","1,841","5,821","2,568","5,559","5,908","3,451","2,680","51,126","24,488","2,656","656","3,697","3","10,125","9,501","15,666","28,150","2023_35"
"2023","36","1,005","2,578","2,042","3,286","2,849","6,442","2,368","3,177","5,671","4,509","2,595","6,267","2,310","3,377","5,346","4,681","3,795","50,539","22,683","2,374","856","1,838","3","14,733","8,051","11,507","34,458","2023_36"
"2023","37","2,662","3,080","2,025","2,257","1,869","6,848","2,769","3,210","5,686","4,218","3,153","7,382","2,861","3,912","6,000","4,773","3,888","54,701","7,202","33,657","504","419","0","8,594","4,326","1,917","18,512","2023_37"
"2023","38","887","1,598","2,184","3,886","6,045","5,269","2,387","3,281","6,015","6,454","4,129","5,725","2,097","3,391","5,769","6,041","5,668","56,225","38,457","1,396","397","3,797","8","6,430","5,741","32,352","17,673","2023_38"
"2023","39","1,179","1,982","1,775","3,364","6,535","6,505","1,861","4,419","6,382","5,607","4,228","7,018","2,050","4,633","6,363","5,771","5,355","60,193","36,872","1,487","356","11,850","0","4,251","5,377","31,657","13,047","2023_39"
"2023","40","1,244","2,284","1,919","3,442","5,074","5,714","2,388","5,502","8,026","5,840","2,899","6,451","2,322","5,893","7,414","5,514","4,140","62,103","34,217","5,455","380","9,819","15","4,612","7,604","29,562","14,203","2023_40"
"2023","41","980","1,574","2,152","3,599","7,876","7,005","1,869","4,491","6,325","6,339","4,473","6,493","1,764","3,935","6,390","5,913","6,566","61,563","46,857","1,595","137","4,838","0","2,905","5,231","42,901","10,526","2023_41"
"2023","42","311","629","374","1,490","10,471","2,043","3,684","14,142","7,595","5,227","3,057","2,085","5,434","13,644","6,768","4,616","4,275","72,572","46,470","3,340","383","15,648","0","1,801","4,930","43,760","7,082","2023_42"
"2023","43","268","301","334","1,119","7,122","3,570","3,824","7,878","4,087","3,877","3,090","3,256","5,241","8,078","3,675","4,044","3,326","53,945","45,043","1,687","18","3,666","6","1,027","2,498","43,437","3,291","2023_43"
"2023","44","364","278","441","931","6,533","3,128","3,793","10,919","5,584","3,118","2,077","2,934","4,184","9,758","4,567","2,534","2,424","55,020","44,326","2,177","47","3,648","56","1,315","3,452","42,061","5,069","2023_44"
"2023","45","1,019","1,700","1,517","3,516","6,355","5,724","1,979","4,155","7,191","5,760","3,345","5,875","1,964","4,184","6,465","5,476","4,756","56,873","37,837","1,520","288","5,000","46","5,976","6,205","32,501","15,963","2023_45"
"2023","46","1,140","1,114","815","1,279","3,281","2,580","2,150","7,717","5,451","4,197","2,007","2,725","2,631","6,633","4,406","3,530","2,823","46,849","27,960","9,246","296","4,588","9","1,730","3,021","25,328","6,247","2023_46"
"2023","47","375","567","827","1,996","8,877","5,878","1,729","7,545","8,666","4,711","2,142","5,248","1,969","7,942","7,745","3,945","2,913","60,434","47,407","1,900","110","3,851","10","2,143","5,013","44,372","7,443","2023_47"
"2023","48","970","922","841","1,792","3,130","2,384","1,850","4,819","5,886","4,855","3,207","2,469","2,613","4,874","4,224","3,702","4,221","45,103","26,396","6,626","77","5,547","98","1,407","4,953","23,795","6,939","2023_48"
"2023","49","1,089","2,016","1,496","2,413","2,855","4,399","2,458","4,400","5,893","5,698","2,847","4,659","4,510","4,900","5,687","4,129","3,216","52,797","24,557","14,125","440","2,543","0","5,415","5,718","22,577","10,454","2023_49"
"2023","50","1,485","2,574","2,308","2,852","4,335","8,847","2,184","4,238","6,237","5,163","4,093","8,560","1,892","3,644","5,914","4,860","4,812","60,444","30,164","5,684","554","12,685","2","5,181","6,174","26,207","12,599","2023_50"
